Invoice Date,Beneficiary Name,Due Date,Grand Total,Service Code,Client Number,Invoice #,Confirmation Number,Line Item Number,Cost Description,GL Description #1,GL Description #2,Gl Account #,Sub Account #,Bank,Status,Terms Code,Date of Order,Transaction Type,Detail Type,Currency,Currencydate,Office,Tax Code
12/22/2023,03917-001,12/22/2023,214.37,SPRP,04151-059588,B6785.31-A,https://api.docparser.com/v1/document/media/LEnCjVp2F46whWhAXYNCSg-B0dJYWLsAHwPuaCKm9gVkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/1/2023,03917-001,12/1/2023,121.07,SPRP,04151-059588,A8078.46-A,https://api.docparser.com/v1/document/media/ajNzm11ai6wDs3vIkbieyIMHUiL1j3ctaJa2lGbbYgVkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/21/2023,03917-001,12/21/2023,117.76,SPRP,04151-059588,B6785.32-A,https://api.docparser.com/v1/document/media/zKmhUITktTnl46TOIivT6KrwLYGGC1Mw2H-nkEDSSuVkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/21/2023,LA,
12/22/2023,03917-001,12/22/2023,87.25,SPRP,04151-059588,B6840.15-A,https://api.docparser.com/v1/document/media/vKXr3BEZ6m5Hw6Gr1mryC252vFPHDF-Yj1al6jbSqt1kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/5/2023,03917-001,12/5/2023,158.4,SPRP,04151-059588,A5792.08-A,https://api.docparser.com/v1/document/media/MEdXpYnyS_GigFfVt5Se_JCz9uKbmVeA5aj3PJxEbLpkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/5/2023,LA,
12/21/2023,03917-001,12/21/2023,109.9,SPRP,04151-059588,A8845.49-A,https://api.docparser.com/v1/document/media/MymnT07kR2FnPZXSRgQZHjfGzicQMBFRFpJOkmNDbp1kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/21/2023,LA,
12/1/2023,03917-001,12/1/2023,103.82,SPRP,04151-059588,A9525.43-A,https://api.docparser.com/v1/document/media/iOHSdsC9VUUCSx9EQz1jEIhar0fg1HaMkyhbJW2W8_5kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/14/2023,03917-001,12/14/2023,219.84,SPRP,04151-059588,A7519.56-A,https://api.docparser.com/v1/document/media/0uEEuXIji70srW1IZ8l37ILDZj4x1OJd3GKxTEDLhU9kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/14/2023,LA,
12/5/2023,03917-001,12/5/2023,84.99,SPRP,04151-059588,B6840.18-A,https://api.docparser.com/v1/document/media/GSmnDR4IxnDzwzahzSA_9-7UsY_3yPOghyCzkIW7lUBkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,from Location: in,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/5/2023,LA,
12/15/2023,03917-001,12/15/2023,121.23,SPRP,04151-059588,B1261.31-A,https://api.docparser.com/v1/document/media/9zoeNb_YOjhSKav__fec48coVG_YWF2wnlU6brZHJfBkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
12/15/2023,03917-001,12/15/2023,270.34,SPRP,04151-059588,B1261.34-A,https://api.docparser.com/v1/document/media/tf7Fy9Eys6Ra4yI2LUtGPhiIj1VeQ0URxPYm22-VMPtkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
12/15/2023,03917-001,12/15/2023,186.03,SPRP,04151-059588,B1261.33-A,https://api.docparser.com/v1/document/media/0SqW8ODfqXbSxo-pElFU7oKiNFChd8AXfxI-F_4xQnVkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
12/1/2023,03917-001,12/1/2023,266.35,SPRP,04151-059588,B1677.28-A,https://api.docparser.com/v1/document/media/3FhkVseGnp62iCpsev-YN--Ow9Y1lSJffIGI-MQrQgFkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/14/2023,03917-001,12/14/2023,175.98,SPRP,04151-059588,B1677.26-A,https://api.docparser.com/v1/document/media/yL9z3N_gjwiiO5_tF3An4yGbRekv5k51WsfDV4QM_-JkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/14/2023,LA,
12/22/2023,03917-001,12/22/2023,96.19,SPRP,04151-059588,B1714.14-A,https://api.docparser.com/v1/document/media/1GJJao03ujtssXF9s9I57092Pw0Nbm3sL8AIQP0baF5kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/5/2023,03917-001,12/5/2023,1296.24,SPRP,04151-059588,B1832.15-A,https://api.docparser.com/v1/document/media/4uLXsxU0vyoj71-bJGWVTdyx4GVmPF0YWWJypWoWAXZkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/5/2023,LA,
12/15/2023,03917-001,12/15/2023,368.15,SPRP,04151-059588,B1261.32-A,https://api.docparser.com/v1/document/media/A8N52fPn5MM_QqGGxzFT8ewArguj6CnviO9yNrK1lJtkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
12/6/2023,03917-001,12/6/2023,192.47,SPRP,04151-059588,B1832.17-A,https://api.docparser.com/v1/document/media/dT1tnTcocRKdLDxvlbg0CF12Lgqd3g-DzXWz4bBqTwhkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/6/2023,LA,
12/1/2023,03917-001,12/1/2023,121.07,SPRP,04151-059588,B4240.04-A,https://api.docparser.com/v1/document/media/QvBBLFLLDGtBWP061FQ7leCLKTl5UTRJbsVaDFXPU-dkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/26/2023,03917-001,12/26/2023,68.88,SPRP,04151-059588,B3668.07-B,https://api.docparser.com/v1/document/media/NTC48C04l9otXntewnAwrp-3X52FqFgmoP9ca6GwKU1kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,from Location: in Attn: Radiology Department.,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/26/2023,LA,
12/15/2023,03917-001,12/15/2023,120.81,SPRP,04151-059588,B4680.20-A,https://api.docparser.com/v1/document/media/Sn9AihZUsAzTrfEnRdkFcZ-GBmWd35RmI00MNtc3ZVdkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
12/7/2023,03917-001,12/7/2023,64.45,SPRP,04151-059588,B4240.15-B,https://api.docparser.com/v1/document/media/k6afOe9eoHTb1h58Ngfo0Sg_6rJkyyhJxAs8E_wfvrpkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,from Location: in,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/7/2023,LA,
12/1/2023,03917-001,12/1/2023,121.07,SPRP,04151-059588,B4707.26-A,https://api.docparser.com/v1/document/media/iXRRQbxnx_xMZHFfJfO_Dyg5-6CoDz9Kt5QpvB3NPjNkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/1/2023,LA,
12/15/2023,03917-001,12/15/2023,160.38,SPRP,04151-059588,B4528.24-A,https://api.docparser.com/v1/document/media/zRH6uBHnzRuVeix6c6D9_d3UALKug0d8acArLs49ZdhkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
12/6/2023,03917-001,12/6/2023,40.52,SPRP,04151-059588,B4919.53-A,https://api.docparser.com/v1/document/media/d0z-O1u7wAlPsaCIcCS3p3hMkb87dOwrjrN1Of1GFkFkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/6/2023,LA,
12/6/2023,03917-001,12/6/2023,160.49,SPRP,04151-059588,B4528.23-A,https://api.docparser.com/v1/document/media/WgJcN9wB9Kajf98BcxquNLdPGGazje4eX3tGGPDsNopkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/6/2023,LA,
12/15/2023,03917-001,12/15/2023,183.57,SPRP,04151-059588,B4528.12-A,https://api.docparser.com/v1/document/media/L5Akhb9l0T2lWjxs07ry65T395U2udiAjizpmGnunERkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
12/6/2023,03917-001,12/6/2023,87.25,SPRP,04151-059588,B5054.37-A,https://api.docparser.com/v1/document/media/K4aNwCu8RTAl4kbv3qWA_4MJQUjugyD05ZpgAy8PcDVkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/6/2023,LA,
12/14/2023,03917-001,12/14/2023,178.33,SPRP,04151-059588,B5090.12-A,https://api.docparser.com/v1/document/media/LWwp_lExnSW-MW7LvKbfosCBU3oZ9YqrGlzp4s3F8_1kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/14/2023,LA,
12/15/2023,03917-001,12/15/2023,127.76,SPRP,04151-059588,B5373.04-A,https://api.docparser.com/v1/document/media/OzD0MLQgNhrERQZo-j7HZGua_hdmAumoaPJrlRj2sjlkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
12/21/2023,03917-001,12/21/2023,71.27,SPRP,04151-059588,B5335.17-A,https://api.docparser.com/v1/document/media/05k32o_-1ShjomROuDgIq1EbharEcXw7WtU1RpM32HdkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/21/2023,LA,
12/21/2023,03917-001,12/21/2023,119.93,SPRP,04151-059588,B5129.28-A,https://api.docparser.com/v1/document/media/lLuUQsEWzJPOAeak5ZZFfIHIqVRpx7q1L5-ShF5C_vdkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/21/2023,LA,
12/22/2023,03917-001,12/22/2023,107.25,SPRP,04151-059588,B5978.22-A,https://api.docparser.com/v1/document/media/fBwDs-J9A2uinCm63FsRe5JT29kMBTDel0H2lB9zPBRkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,99.75,SPRP,04151-059588,B5978.24-A,https://api.docparser.com/v1/document/media/tK19Vc98kktpk5fX6PUejqijK9d0eBcZbEczu-SHzl5kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/21/2023,03917-001,12/21/2023,176.67,SPRP,04151-059588,B5774.03-A,https://api.docparser.com/v1/document/media/qNfkCaolbAyKJbpMMHsDNr3Q6ZsUMYWVMiVH9AczLnNkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/21/2023,LA,
12/22/2023,03917-001,12/22/2023,160.03,SPRP,04151-059588,B5987.10-A,https://api.docparser.com/v1/document/media/apB_RxeHlRdzcnkoGFM7cSDdrGcEIIdWzwYGga_prJ5kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,119.45,SPRP,04151-059588,B5987.11-A,https://api.docparser.com/v1/document/media/4rtwIyffChOOdzC5oktEJoyIjPfr_XijVu6-1i8oBOdkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/14/2023,03917-001,12/14/2023,100.46,SPRP,04151-059588,B5987.13-A,https://api.docparser.com/v1/document/media/VGDgQLIzgz2EOItGtzTk3dIeKFyjH-pOMUReZmsF-KNkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/14/2023,LA,
12/22/2023,03917-001,12/22/2023,172.19,SPRP,04151-059588,B6075.09-A,https://api.docparser.com/v1/document/media/DhHbnNyouXHvo8IZjImhoD58nhQW8kwqQm2wxWSAwTNkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/6/2023,03917-001,12/6/2023,140.25,SPRP,04151-059588,B6157.33-A,https://api.docparser.com/v1/document/media/f6VlqLGYkSWFYyodHnjGvxyi_-Ai48X0mohfpZxAa55kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/6/2023,LA,
12/14/2023,03917-001,12/14/2023,216.04,SPRP,04151-059588,B6299.17-A,https://api.docparser.com/v1/document/media/t3C08j2R0AoLV8-eYiDqaf4d5jLYAzJeM29cT3aANBpkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/14/2023,LA,
12/22/2023,03917-001,12/22/2023,197.31,SPRP,04151-059588,B6157.35-A,https://api.docparser.com/v1/document/media/mcSx2umbklK74c3NQWIyVf2p6xKO8XHLbotnGasc9hxkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/22/2023,03917-001,12/22/2023,87.25,SPRP,04151-059588,B6566.08-A,https://api.docparser.com/v1/document/media/krK3dvnUOe14XnqzuUnrtWwxZ3BEhlhL68jTA9bMGo5kaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/21/2023,03917-001,12/21/2023,117.52,SPRP,04151-059588,B6785.22-A,https://api.docparser.com/v1/document/media/T5AQ7_1xI8YbCgnX7l5OcXIA-RUrsC7eHJS8gvTFSQxkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/21/2023,LA,
12/22/2023,03917-001,12/22/2023,40.52,SPRP,04151-059588,B6627.12-A,https://api.docparser.com/v1/document/media/wGKK7Nd1davxvMW6cfORGNg70ZJnL-ZNt4syhkqgMspkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/15/2023,03917-001,12/15/2023,123.3,SPRP,04151-059588,B6785.29-A,https://api.docparser.com/v1/document/media/1P6B1SCNUMG_hmMTR0u78KTai4P4K93tR7KSZ1tmK7hkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
12/22/2023,03917-001,12/22/2023,118,SPRP,04151-059588,B6785.30-A,https://api.docparser.com/v1/document/media/K-6o9m5OzhbVALzqT_J7iTFQ-zg8oyrqMHMTZSrZS7hkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/22/2023,LA,
12/15/2023,03917-001,12/15/2023,52.12,SPRP,04151-059588,B6570.02-B,https://api.docparser.com/v1/document/media/QwIzw4Fq6YtTVIfz8WvKghhTbe5eqT4INr3sOq5HatdkaKJbtEm1gGLEJm5rcLK8i-HX7Nwai9G7zzEhVOxF1v4_D1IuqQU3kJ042Q2Nx5o,,#NAME?,,,2000-0000-01,,,HOLDCLIENT,net 30,1/2/2024,in,,USD,12/15/2023,LA,
